"nGene"	"nUMI"	"orig.ident"	"Patient"	"majorCluster"	"sampleType"	"percent.mito"	"res.1"
"TTR151-0322"	3199	804415	"TTR151-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR153-0322"	3131	706982	"TTR153-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR154-0322"	2788	595339	"TTR154-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR155-0322"	3481	609972	"TTR155-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR158-0322"	3386	672081	"TTR158-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR159-0322"	4121	826243	"TTR159-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR160-0322"	3310	627613	"TTR160-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR161-0322"	3539	701351	"TTR161-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR163-0322"	3229	745502	"TTR163-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR164-0322"	4132	754992	"TTR164-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR165-0322"	3664	682679	"TTR165-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR166-0322"	2898	682180	"TTR166-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR167-0322"	2889	686775	"TTR167-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
